=================== ========= ==== ======================== ===========================================================================================================================================================
date/time           short_uid id   plan                     args                                                                                                                                                       
2017-12-01 15:59:55 f62ff9e7  378  TuneAxis.multi_pass_tune detectors=['spvoigt'], num=11, motor=['m1'], start=-1.0268, stop=-1.2268000000000001, per_step=None                                                        
2017-12-01 15:59:58 2053463e  379  TuneAxis.multi_pass_tune detectors=['spvoigt'], num=11, motor=['m1'], start=-1.1892, stop=-1.1692, per_step=None                                                                    
2017-12-01 16:00:00 d1813c12  380  TuneAxis.tune            detectors=['spvoigt'], num=33, motor=['m1'], start=-2.5, stop=-0.5, per_step=None                                                                          
2017-12-01 16:01:31 ff763681  381  TuneAxis.multi_pass_tune detectors=['spvoigt'], num=16, motor=['m1'], start=-2.5, stop=-0.5, per_step=None                                                                          
2017-12-01 16:01:39 017be77e  382  TuneAxis.multi_pass_tune detectors=['spvoigt'], num=16, motor=['m1'], start=-1.0664, stop=-1.2664000000000002, per_step=None                                                        
2017-12-01 16:01:43 49e6772f  383  TuneAxis.multi_pass_tune detectors=['spvoigt'], num=16, motor=['m1'], start=-1.1648, stop=-1.1448, per_step=None                                                                    
2017-12-01 16:01:45 999f48a5  384  TuneAxis.tune            detectors=['spvoigt'], num=49, motor=['m1'], start=-2.5, stop=-0.5, per_step=None                                                                          
2017-12-01 16:08:15 f0a39e5a  385  TuneAxis.multi_pass_tune detectors=['spvoigt'], num=16, motor=['m1'], start=-2.5, stop=-0.5, per_step=None                                                                          
2017-12-01 16:08:24 5e7db784  386  TuneAxis.multi_pass_tune detectors=['spvoigt'], num=16, motor=['m1'], start=-1.3332, stop=-1.5332000000000001, per_step=None                                                        
2017-12-01 16:08:28 77abae23  387  TuneAxis.multi_pass_tune detectors=['spvoigt'], num=16, motor=['m1'], start=-1.4388, stop=-1.4188, per_step=None                                                                    
2017-12-01 16:08:30 1530be48  388  TuneAxis.tune            detectors=['spvoigt'], num=49, motor=['m1'], start=-2.5, stop=-0.5, per_step=None                                                                          
2017-12-06 10:39:02 e26eb132  389  count                    detectors=['plainsimdet'], num=1                                                                                                                           
2017-12-06 10:39:09 14f80dd8  390  count                    detectors=['plainsimdet'], num=1                                                                                                                           
2017-12-06 10:42:25 da942523  391  count                    detectors=['plainsimdet'], num=5                                                                                                                           
2017-12-06 10:42:48 bd85e136  392  count                    detectors=['plainsimdet'], num=500                                                                                                                         
2017-12-06 10:43:09 4ea7a7fa  393  count                    detectors=['plainsimdet'], num=500                                                                                                                         
2017-12-06 10:43:15 5169bcfd  394  count                    detectors=['plainsimdet'], num=500                                                                                                                         
2017-12-06 10:43:35 f3544f48  395  count                    detectors=['plainsimdet'], num=3                                                                                                                           
2017-12-06 10:44:46 974bb75b  396  count                    detectors=['plainsimdet'], num=2                                                                                                                           
2017-12-06 10:45:27 f213c1bb  397  count                    detectors=['plainsimdet'], num=2                                                                                                                           
2017-12-06 11:34:04 73541ae8  398  count                    detectors=['plainsimdet'], num=2                                                                                                                           
2017-12-06 11:34:25 e4a0892d  399  count                    detectors=['plainsimdet'], num=2                                                                                                                           
2017-12-06 11:35:04 16be9445  400  count                    detectors=['plainsimdet'], num=2                                                                                                                           
2017-12-06 21:40:27 679d6bf5  401  count                    detectors=['adsimdet'], num=1                                                                                                                              
2017-12-06 21:40:31 faa38311  402  count                    detectors=['adsimdet'], num=1                                                                                                                              
2017-12-06 21:48:00 d7e678cf  403  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-06 21:48:31 c4a6b0c1  404  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-06 21:49:21 a5955c2c  405  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-06 21:54:57 bd258db9  406  count                    detectors=['adsimdet'], num=1                                                                                                                              
2017-12-06 21:56:12 9770712e  407  count                    detectors=['adsimdet'], num=1                                                                                                                              
2017-12-06 22:32:59 de91698f  408  count                    detectors=['somedet'], num=2                                                                                                                               
2017-12-06 22:33:33 dca18d4d  409  count                    detectors=['somedet'], num=2                                                                                                                               
2017-12-06 22:33:45 4b136e67  410  count                    detectors=['somedet'], num=2                                                                                                                               
2017-12-06 22:34:20 6ef7c816  411  count                    detectors=['somedet'], num=2                                                                                                                               
2017-12-06 22:40:06 1681a29d  412  count                    detectors=['adsimdet'], num=2                                                                                                                              
2017-12-06 22:43:31 7cc053f3  413  count                    detectors=['somedet'], num=2                                                                                                                               
2017-12-06 22:44:42 997c92a2  414  count                    detectors=['somedet'], num=2                                                                                                                               
2017-12-06 22:48:11 441565ff  415  count                    detectors=['somedet'], num=2                                                                                                                               
2017-12-06 22:51:58 f035a962  416  count                    detectors=['somedet'], num=2                                                                                                                               
2017-12-06 22:53:22 18d70e78  417  count                    detectors=['somedet'], num=2                                                                                                                               
2017-12-06 22:53:26 2b00b74c  418  count                    detectors=['somedet'], num=2                                                                                                                               
2017-12-06 22:53:52 dfd2fe1a  419  count                    detectors=['somedet'], num=2                                                                                                                               
2017-12-06 22:54:18 49e44f2b  420  count                    detectors=['somedet'], num=2                                                                                                                               
2017-12-06 22:54:29 67c87052  421  count                    detectors=['somedet'], num=2                                                                                                                               
2017-12-06 22:55:36 35be263a  422  count                    detectors=['somedet'], num=2                                                                                                                               
2017-12-06 22:55:39 a7767829  423  count                    detectors=['somedet'], num=2                                                                                                                               
2017-12-06 22:55:54 479e1223  424  count                    detectors=['somedet'], num=2                                                                                                                               
2017-12-06 22:58:01 af08f314  425  count                    detectors=['somedet'], num=2                                                                                                                               
2017-12-06 22:58:06 14845567  426  count                    detectors=['somedet'], num=2                                                                                                                               
2017-12-06 23:00:45 ae92834f  427  count                    detectors=['adsimdet'], num=2                                                                                                                              
2017-12-06 23:01:47 a51b73af  428  count                    detectors=['adsimdet'], num=2                                                                                                                              
2017-12-06 23:03:28 be72f34c  429  count                    detectors=['adsimdet'], num=2                                                                                                                              
2017-12-06 23:03:45 3dd93feb  430  count                    detectors=['adsimdet'], num=2                                                                                                                              
2017-12-06 23:05:10 33b1455d  431  count                    detectors=['adsimdet'], num=2                                                                                                                              
2017-12-06 23:05:15 4419832c  432  count                    detectors=['adsimdet'], num=2                                                                                                                              
2017-12-06 23:05:26 4ba37ca1  433  count                    detectors=['adsimdet'], num=7                                                                                                                              
2017-12-06 23:07:09 2a6a7d2e  434  count                    detectors=['adsimdet'], num=2                                                                                                                              
2017-12-06 23:08:11 fcc7b715  435  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-06 23:08:18 0e6eb3ac  436  count                    detectors=['adsimdet'], num=5                                                                                                                              
2017-12-06 23:13:27 a089a2b1  437  count                    detectors=['adsimdet'], num=10                                                                                                                             
2017-12-06 23:19:51 06c89d88  438  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-06 23:23:19 e2b378f2  439  count                    detectors=['adsimdet'], num=7                                                                                                                              
2017-12-06 23:28:55 1165adbe  440  count                    detectors=['adsimdet'], num=2                                                                                                                              
2017-12-06 23:30:09 a551387c  441  count                    detectors=['adsimdet'], num=2                                                                                                                              
2017-12-06 23:31:57 03b12f3a  442  count                    detectors=['adsimdet'], num=2                                                                                                                              
2017-12-06 23:36:41 66ca594d  443  count                    detectors=['adsimdet'], num=2                                                                                                                              
2017-12-06 23:38:28 db198b6b  444  count                    detectors=['adsimdet'], num=2                                                                                                                              
2017-12-06 23:40:20 35d90237  445  count                    detectors=['adsimdet'], num=2                                                                                                                              
2017-12-06 23:42:10 2fa2350c  446  count                    detectors=['adsimdet'], num=2                                                                                                                              
2017-12-06 23:47:11 c1294dd1  447  count                    detectors=['adsimdet'], num=2                                                                                                                              
2017-12-06 23:48:40 d35e818e  448  count                    detectors=['adsimdet'], num=2                                                                                                                              
2017-12-06 23:57:05 3470135c  449  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-06 23:58:12 1bfa0cb3  450  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-06 23:58:30 0903a149  451  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-06 23:58:57 faef657b  452  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-06 23:59:39 e44554af  453  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-07 00:01:46 0da816c9  454  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-07 00:06:37 9cf3d253  455  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-07 00:08:47 793c284d  456  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-07 00:09:43 e95efcb0  457  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-07 00:13:49 1ae3db68  458  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-07 00:25:01 65e279a4  459  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-07 00:26:07 c70fd034  460  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-07 00:27:20 fc7b2606  461  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-07 00:27:56 055d767e  462  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-07 00:29:00 a2a089eb  463  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-07 00:30:14 56443675  464  count                    detectors=['adsimdet'], num=3                                                                                                                              
2017-12-07 08:30:29 8e69839a  465  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 12:37:48 a03a827a  466  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 12:40:11 d632af2d  467  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 12:44:48 748e8080  468  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 12:44:55 a1534653  469  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 12:46:33 56ff4728  470  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:04:31 d91fe1a5  471  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:21:59 354fffb3  472  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:24:01 3732148d  473  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:24:48 02217e95  474  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:25:36 5be3cb13  475  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:28:09 c32ee133  476  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:28:46 46d27f56  477  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:29:49 dd8b079f  478  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:30:07 edff4204  479  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:30:39 6f43a31a  480  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:44:42 e5d354ab  481  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:45:15 dfea4cf4  482  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:45:19 18b1396c  483  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:45:23 17b0aa27  484  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:45:26 306675cb  485  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:45:43 fadce59a  486  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:46:00 4d4b59ff  487  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:46:09 59db68ee  488  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:46:36 c4f6adab  489  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:47:48 2e01f68e  490  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:47:54 f2f52703  491  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:49:10 f5e8e62a  492  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:49:18 c70975f0  493  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:49:37 5af16bff  494  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:50:54 c5c18753  495  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:52:41 9b1d46f0  496  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:52:45 60dd3f56  497  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:52:49 ee4afe08  498  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:54:10 f1bdf301  499  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:54:14 21fb1d7b  500  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:54:27 e0b9a378  501  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 14:58:13 14053fc0  502  TuneAxis.multi_pass_tune detectors=['spvoigt'], num=10, motor=['m1'], start=-2.5, stop=-0.5, per_step=None                                                                          
2017-12-07 14:58:20 bc00604d  503  TuneAxis.multi_pass_tune detectors=['spvoigt'], num=10, motor=['m1'], start=-1.1400000000000001, stop=-1.6400000000000001, per_step=None                                            
2017-12-07 14:58:24 14386d1f  504  TuneAxis.multi_pass_tune detectors=['spvoigt'], num=10, motor=['m1'], start=-1.4325, stop=-1.3075, per_step=None                                                                    
2017-12-07 14:58:27 62f4fb6e  505  TuneAxis.multi_pass_tune detectors=['spvoigt'], num=10, motor=['m1'], start=-1.3643750000000001, stop=-1.3956250000000001, per_step=None                                            
2017-12-07 14:58:28 0c33c098  506  TuneAxis.tune            detectors=['spvoigt'], num=30, motor=['m1'], start=-2.5, stop=-0.5, per_step=None                                                                          
2017-12-07 15:33:19 b35fc615  507  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 15:35:19 c90ce060  508  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 15:35:37 11489a86  509  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 15:35:41 7141b968  510  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 15:35:48 23769600  511  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 15:35:52 6397602c  512  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 15:36:03 b53166cb  513  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 15:36:42 6db85476  514  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 15:37:03 0e80e9e3  515  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-07 15:37:13 b73d17ed  516  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-15 12:03:43 218eb1f4  517  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-15 12:04:25 9e8aa078  518  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-15 12:10:30 5f239579  519  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-15 12:17:04 3c812614  520  count                    detectors=['scaler'], num=3                                                                                                                                
2017-12-15 12:40:00 fca2f916  521  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-5, stop=5, per_step=None                                                                                 
2017-12-15 13:41:15 8959379e  522  _the_plan                                                                                                                                                                           
2017-12-15 13:43:33 a27dbc4d  523  _the_plan                                                                                                                                                                           
2017-12-15 13:54:20 b1682a67  524  _the_plan                                                                                                                                                                           
2017-12-15 13:54:31 8ad4640e  525  _the_plan                                                                                                                                                                           
2017-12-15 13:56:08 a79b8ba0  526  _the_plan                                                                                                                                                                           
2017-12-15 13:56:35 9d965224  527  count                    detectors=['scaler'], num=2                                                                                                                                
2017-12-15 13:56:41 969544d4  528  _the_plan                                                                                                                                                                           
2017-12-15 13:57:36 c6af1a44  529  _the_plan                                                                                                                                                                           
2017-12-15 13:58:44 81302e94  530  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-15 13:59:40 992e8b7a  531  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-15 14:07:43 33446187  532  demo_mona_motor_scan                                                                                                                                                                
2017-12-15 14:08:17 3043780c  533  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-15 14:11:26 5341c758  534  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-15 14:28:09 54b4e24e  535  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-15 14:32:18 ee6e4651  536  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-15 14:42:39 757c4268  537  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-15 14:50:50 3489c941  538  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-15 14:59:18 38996eec  539  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 11:06:33 0b56bc61  540  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 11:19:49 4457a087  541  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 11:20:46 117ae84f  542  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 11:21:41 93671864  543  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 11:22:55 3ee0d393  544  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 11:23:53 34064b35  545  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 11:24:54 d9d4b51f  546  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 11:34:54 9578c109  547  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 14:48:03 3a713241  548  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 14:49:31 550efdc2  549  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 14:53:27 3b7deb39  550  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 15:02:12 8b9a0a39  551  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 15:06:06 0e0e1973  552  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 15:06:53 817686b5  553  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 15:08:37 725e1e1f  554  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 15:12:43 b1d11161  555  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 15:14:43 a1faaac1  556  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 15:18:07 4e89ebfe  557  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 15:20:57 574134cf  558  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 15:25:41 af6342e5  559  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 15:43:21 4087a16f  560  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 15:44:46 6bd45801  561  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 15:45:01 b5f36a36  562  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 15:53:27 a19d08ce  563  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 16:06:20 b38cde34  564  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 16:07:16 39f8c494  565  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 16:12:04 ed74a664  566  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 16:14:08 5629d0aa  567  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 16:14:58 c12f775f  568  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 16:17:59 9746b336  569  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 16:18:40 9ffb3d28  570  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-1, stop=0, per_step=None                                                                                 
2017-12-18 16:19:46 a7cdf915  571  scan                     detectors=['scaler'], num=3, motor=['m1'], start=-5, stop=0, per_step=None                                                                                 
2017-12-18 16:22:18 ccb2c190  572  scan                     detectors=['scaler'], num=10, motor=['m1'], start=-5, stop=0, per_step=None                                                                                
2017-12-18 16:23:18 396e0b77  573  scan                     detectors=['scaler'], num=10, motor=['m1'], start=-5, stop=0, per_step=None                                                                                
2017-12-18 16:24:38 371d4cd5  574  scan                     detectors=['scaler'], num=10, motor=['m1'], start=-5, stop=0, per_step=None                                                                                
2017-12-18 17:15:58 a61eac1b  575  scan                     detectors=['scaler'], num=10, motor=['m1'], start=-5, stop=0, per_step=None                                                                                
2017-12-18 17:16:31 60197d82  576  scan                     detectors=['scaler'], num=10, motor=['m1'], start=-5, stop=0, per_step=None                                                                                
2017-12-18 17:20:22 2abf177a  577  scan                     detectors=['scaler'], num=10, motor=['m1'], start=-5, stop=0, per_step=None                                                                                
2017-12-18 17:22:49 ccb9a7ca  578  scan                     detectors=['scaler'], num=10, motor=['m1'], start=-5, stop=0, per_step=None                                                                                
2017-12-18 17:23:16 da9ca47f  579  scan                     detectors=['scaler'], num=5, motor=['m1'], start=-5, stop=0, per_step=None                                                                                 
2017-12-18 17:25:32 a8cae111  580  scan                     detectors=['scaler'], num=5, motor=['m1'], start=-5, stop=0, per_step=None                                                                                 
2017-12-18 17:26:01 2bbd46c7  581  scan                     detectors=['scaler'], num=5, motor=['m1'], start=-5, stop=0, per_step=None                                                                                 
2017-12-18 17:27:12 1242c172  582  scan                     detectors=['scaler'], num=5, motor=['m1'], start=-5, stop=0, per_step=None                                                                                 
2018-02-10 17:39:00 f6848818  583  count                    detectors=['scaler'], num=1                                                                                                                                
2018-02-10 17:39:19 f04fb159  584  count                    detectors=['scaler'], num=1                                                                                                                                
2018-02-10 17:39:28 038a851f  585  count                    detectors=['scaler'], num=1                                                                                                                                
2018-02-10 17:47:36 ec796f70  586  count                    detectors=['sc2'], num=1                                                                                                                                   
